GRUPO;PERFIL;CODIGO;DESCRIPCION_ESTANDAR;CRITERIO_FUNCIONAL;GRADACION_CUMPLIMIENTO;OBLIGATORIO
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_01 - Registro de IPRESS;DV01;Registro de IPRESS en RENIPRESS;Ficha de inscripción RENIPRESS obtenida por OGTI según código de IPRESS;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_01 - Registro de IPRESS;DV02;Categorización de IPRESS;Número de Resolución de categorización de IPRESS verificado por OGTI;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_02 - Gestión de Historia Clínica;DV03;Formatos electrónicos HCE con firma digital;Formatos electrónicos de la HCE con firmas digitales y código de seguridad para verificación al pie. Los formatos a solicitar son los establecidos para cada UPSS según perfil de acreditación;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 01;DV05;Catálogo de Procedimientos Médicos y Sanitarios (CPMS);Catálogo CPMS en uso en su SIHCE. La IPRESS debe hacer uso del catálogo CPMS o presentar tabla de homologación para envío al RENHICE;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 02;DV06;Catálogo de Productos Farmacéuticos y Catálogo Sectorial;Catálogo de Productos Farmacéuticos de uso en la IPRESS y el Catálogo Sectorial de Productos Farmacéuticos para envío a RENHICE (DCI + ATC);Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 03;DV07;Registro banco de datos personales de pacientes en MINJUS;Constancia del Registro de banco de datos personales de usuarios de salud/pacientes ante MINJUS;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 03;DV08;Convenio RENIEC para identificación de usuarios;Derecho de uso/convenio/contrato del servicio de consulta a RENIEC para identificación de usuarios de salud, representantes, profesionales de salud y otros actores peruanos;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 03;DV09;Convenio Migraciones para identificación de extranjeros;Derecho de uso/convenio/contrato del servicio de consulta a Migraciones para identificación de usuarios extranjeros (SOLO SI EXISTE DISPONIBILIDAD DE USO PARA TODO EL SECTOR);Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 05;DV10;Listado de UPS habilitadas en SIHCE;Listado de UPS habilitadas en su SIHCE. OGTI verifica versus lo registrado en RENIPRESS;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 06;DV11;Archivo Modelo de datos por episodio de atención;Archivo del Modelo de datos por episodio de atención de acuerdo a la especificación de Información Clínica registrada al cierre de la atención o al egreso según corresponda;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 07;DV12;Registro banco de datos personales del personal de salud;Constancia de registro de banco de datos personales del personal de salud de la IPRESS;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 07;DV13;Convenio RENIEC para identificación del personal;Derecho de uso/convenio/contrato del servicio de consulta a RENIEC para identificación de personal de salud;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 07;DV14;Convenio Migraciones para personal extranjero;Derecho de uso/convenio/contrato del servicio de consulta a Migraciones para identificación de personal de salud extranjero con permiso de trabajo en el Perú;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 07;DV16;Catálogo de Colegios Profesionales en SIHCE;Catálogo usado en SIHCE de Colegios Profesionales;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 08;DV18;Catálogo de IAFAS y documentación técnica de integración;Catálogo de IAFAS usado en SIHCE. Documentación técnica de integración de servicio de consulta en línea al Registro de IAFAS (por lo menos debe consultar a su principal IAFAS en tiempo real);Cumple / No Cumple;SI
