GRUPO;PERFIL;CODIGO;DESCRIPCION_ESTANDAR;CRITERIO_FUNCIONAL;GRADACION_CUMPLIMIENTO;OBLIGATORIO
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.01.01;El sistema DEBE ofrecer la 2 capacidad de capturar y mantener puntos: cuando el actualizados'datos estructurados sistema permite capturar en;El sistema DEBE ofrecer la 2 capacidad de capturar y mantener puntos: cuando el actualizados'datos estructurados sistema permite capturar en el . historial del paciente (p. ej. de forma especifica, en ingreso por referencia/ campos abiertos y contrareferencia, datos discretos. administrativos, sociales, ubicacibn geogrbfica y/o Cumplimiento parcial 1 condiciones financieras, pobreza, punto: cuando el sistema orfandad, discapacidad, permite capturar de encarcelamiento, incompetencia o forma especifica, en ubicacibn geogrbfica remota) campos abiertos;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.01.02;El sistema DEBE ofrecer la 2 capacidad de registrar informacibn puntos: cuando el sobre financiamiento o sistema permite registrar acredltac;El sistema DEBE ofrecer la 2 capacidad de registrar informacibn puntos: cuando el sobre financiamiento o sistema permite registrar acredltacibn ante una o mbs de forma especifica, en IAFAS PARA asegurar el campos • abiertos y/o financiamiento de la atencibn del discretos, informacibn usuario de salud/ paciente en la sobre financiamiento o IPRESS. acredltacibn ante una o mbs IAFAS contiendo como minimo: 1) Cobertura;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.01.03;El sistema DEBE consultar los 2 servicios de por Io menos una puntos: cuando el IAFAS respecto a financiamiento sistema permite por usuario/;El sistema DEBE consultar los 2 servicios de por Io menos una puntos: cuando el IAFAS respecto a financiamiento sistema permite por usuario/paciente PARA consultar los servicios de asegurar la vigencia del las IAFAS, mediante financiamiento y tipo de cobertura interconexibn directa o para la atencibn del usuario de indirecta, respecto al salud/ paciente en la IPRESS. financiamiento, vigencia, cobertura y restricciones que presente cada una de las IAFAS;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.02.01;El sistema DEBE ofrecer la 2 capacldad de gestionar la puntos: cuando el información de origen y destino del sistema permite registrar pacie;El sistema DEBE ofrecer la 2 capacldad de gestionar la puntos: cuando el información de origen y destino del sistema permite registrar paciente en ' la IPRESS PARA de forma especifica, en permitir un control de las campos abiertos y admisiones dentro la IPRESS. discretos, información del origen y de destino del paciente en la IPRESS, conteniendo como mlnimo:;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.02.02;El sistema DEBE ofrecer la 2 capacldad de gestionar un registro puntos: cuando el de un paciente cuando se sistema genera un desconoce su id;El sistema DEBE ofrecer la 2 capacldad de gestionar un registro puntos: cuando el de un paciente cuando se sistema genera un desconoce su identidad PARA codigo de identificación generarle una identidad provisional al paciente provisional, mantenerla y reflejarla cuando se desconoce su en los campos de diversos identidad manteniendola formularios especificos en los campos de todos especialmente en casos de recidn los formularios. nacidos, emergencia, etc;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.02.03;El sistema DEBE ofrecer la 2 capacldad de gestionar mds de un puntos: cuando el dato como identificador de sistema permite realizar paciente;El sistema DEBE ofrecer la 2 capacldad de gestionar mds de un puntos: cuando el dato como identificador de sistema permite realizar pacientes (numero de documento la biisqueda de un provisional mientras es paciente con el numero desconocido, numero de de documento de documento de identidad, historia identidad, numero de HC clínica, numero de afiliado, y otro(s) identificador(es) numero de cuenta) PARA validar m£s. la identidad y permitir la biisqueda de pacientes. Cumplimiento parcial 1 punto: cuando el sistema;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.02.04;El sistema DEBE ofrecer la 2 capacidad de generar el cddigo puntos: cuando el estdndar de usuario de salud sistema genera el cbdigo como ide;El sistema DEBE ofrecer la 2 capacidad de generar el cddigo puntos: cuando el estdndar de usuario de salud sistema genera el cbdigo como identificador PARA el envio estandar de usuario de de información al RENHICE. salud como identificador del paciente de acuerdo a la especificacibn de las tramas de envio de informacibn al RENHICE;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.02.05;El sistema DEBE vincular 2 informacibn clave del identificador puntos: cuando el del paciente (p. ej. ID del sistema, sistema registra todos;El sistema DEBE vincular 2 informacibn clave del identificador puntos: cuando el del paciente (p. ej. ID del sistema, sistema registra todos los número de historia clínica, cbdigo datos de la historia de usuario de salud) con cada clínica vinculados con los registro de atención del paciente datos de identificacibn PARA asegurar registros del paciente. atribuidos a cada paciente y facilitar la busqueda de pacientes;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.02.06;El sistema DEBE ofrecer la 2 capacidad, a travSs de un mStodo puntos: cuando el controlado, de integrar o vincular sistema permite integrar;El sistema DEBE ofrecer la 2 capacidad, a travSs de un mStodo puntos: cuando el controlado, de integrar o vincular sistema permite integrar information de un solo paciente las HC de un solo tras reconocer su identidad (p. ej. paciente a partir del partes de un registro que aim no número de HC, han sido integradas o vinculadas registrando en un campo debido a que aim se desconoce la abierto los números de identidad de un paciente, o se las HC fusionadas. estuvo usando una identidad temporal (un alias), o habia;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.02.07;El sistema DEBE ofrecer la 2 capacidad de generar partes del puntos: cuando el registro de un paciente usando un sistema permite generar ide;El sistema DEBE ofrecer la 2 capacidad de generar partes del puntos: cuando el registro de un paciente usando un sistema permite generar identificador primario (p. ej. partes del registro de un número de historia, codigo de paciente a partir de usuario de salud, número numero de HC, numero identificador unlco del paciente en de documento de el sistema), identificadores identidad) u otros datos. secundarios (p. ej. número de seguro social), u otra informacibn,;2: Cumplimiento Total / 0: No Cumplimiento;SI
